,X,Y,Z,Activity
300,2.55,-9.49,0.02,Standing
301,2.52,-9.56,0.04,Standing
302,2.49,-9.52,0.03,Standing
303,2.52,-9.59,-0.01,Standing
304,2.52,-9.56,-0.05,Standing
305,2.48,-9.48,-0.11,Standing
306,2.51,-9.47,-0.13,Standing
307,2.56,-9.49,-0.14,Standing
308,2.6,-9.56,-0.13,Standing
309,2.58,-9.58,-0.1,Standing
310,2.58,-9.54,-0.09,Standing
311,2.56,-9.42,-0.05,Standing
312,2.55,-9.32,-0.05,Standing
313,2.57,-9.34,-0.08,Standing
314,2.67,-9.47,-0.13,Standing
315,2.76,-9.53,-0.24,Standing
316,2.79,-9.44,-0.31,Standing
317,2.79,-9.42,-0.33,Standing
318,2.79,-9.44,-0.27,Standing
319,2.78,-9.47,-0.2,Standing
320,2.79,-9.45,-0.2,Standing
321,2.78,-9.41,-0.14,Standing
322,2.66,-9.37,-0.11,Standing
323,2.62,-9.37,-0.16,Standing
324,2.69,-9.46,-0.23,Standing
325,2.72,-9.55,-0.23,Standing
326,2.7,-9.5,-0.16,Standing
327,2.65,-9.47,-0.12,Standing
328,2.63,-9.45,-0.14,Standing
329,2.65,-9.47,-0.19,Standing
330,2.62,-9.45,-0.26,Standing
331,2.6,-9.5,-0.26,Standing
332,2.61,-9.53,-0.19,Standing
333,2.59,-9.53,-0.11,Standing
334,2.58,-9.54,-0.08,Standing
335,2.49,-9.48,-0.1,Standing
336,2.49,-9.45,-0.15,Standing
337,2.57,-9.48,-0.22,Standing
338,2.61,-9.47,-0.24,Standing
339,2.66,-9.48,-0.21,Standing
340,2.67,-9.45,-0.12,Standing
341,2.66,-9.46,-0.09,Standing
342,2.63,-9.5,-0.09,Standing
343,2.61,-9.5,-0.14,Standing
344,2.59,-9.45,-0.18,Standing
345,2.58,-9.47,-0.2,Standing
346,2.58,-9.52,-0.15,Standing
347,2.53,-9.51,-0.12,Standing
348,2.49,-9.48,-0.06,Standing
349,2.49,-9.5,-0.02,Standing
350,2.54,-9.54,-0.06,Standing
351,2.57,-9.51,-0.11,Standing
352,2.57,-9.49,-0.15,Standing
353,2.62,-9.51,-0.16,Standing
354,2.62,-9.5,-0.09,Standing
355,2.59,-9.49,-0.08,Standing
356,2.62,-9.49,-0.05,Standing
357,2.66,-9.48,-0.09,Standing
358,2.68,-9.47,-0.17,Standing
359,2.66,-9.49,-0.19,Standing
360,2.61,-9.46,-0.16,Standing
361,2.64,-9.47,-0.09,Standing
362,2.68,-9.51,-0.07,Standing
363,2.69,-9.48,-0.09,Standing
364,2.66,-9.43,-0.09,Standing
365,2.65,-9.5,-0.07,Standing
366,2.64,-9.52,-0.08,Standing
367,2.63,-9.48,-0.11,Standing
368,2.64,-9.42,-0.17,Standing
369,2.62,-9.37,-0.16,Standing
370,2.69,-9.45,-0.13,Standing
371,2.73,-9.53,-0.12,Standing
372,2.76,-9.5,-0.16,Standing
373,2.76,-9.42,-0.2,Standing
374,2.74,-9.34,-0.16,Standing
375,2.73,-9.44,-0.12,Standing
376,2.7,-9.55,-0.07,Standing
377,2.62,-9.63,-0.01,Standing
378,2.51,-9.56,0.02,Standing
379,2.42,-9.42,0.02,Standing
380,2.45,-9.35,-0.04,Standing
381,2.55,-9.44,-0.13,Standing
382,2.67,-9.54,-0.18,Standing
383,2.67,-9.55,-0.14,Standing
384,2.64,-9.51,-0.07,Standing
385,2.6,-9.52,-0.1,Standing
386,2.61,-9.5,-0.17,Standing
387,2.63,-9.46,-0.27,Standing
388,2.68,-9.48,-0.27,Standing
389,2.69,-9.51,-0.21,Standing
390,2.62,-9.48,-0.1,Standing
391,2.52,-9.43,-0.03,Standing
392,2.52,-9.52,-0.03,Standing
393,2.58,-9.56,-0.13,Standing
394,2.67,-9.55,-0.21,Standing
395,2.7,-9.51,-0.18,Standing
396,2.69,-9.47,-0.08,Standing
397,2.64,-9.47,0.04,Standing
398,2.53,-9.44,0.04,Standing
399,2.46,-9.46,-0.09,Standing
400,2.51,-9.57,-0.2,Standing
401,2.5,-9.51,-0.23,Standing
402,2.53,-9.42,-0.17,Standing
403,2.64,-9.47,-0.06,Standing
404,2.78,-9.6,0.03,Standing
405,2.8,-9.57,-0.04,Standing
406,2.65,-9.4,-0.15,Standing
407,2.61,-9.36,-0.19,Standing
408,2.66,-9.57,-0.17,Standing
409,2.72,-9.7,-0.16,Standing
410,2.64,-9.45,-0.11,Standing
411,2.49,-9.11,-0.06,Standing
412,2.63,-9.41,0.03,Standing
413,2.83,-9.7,0.02,Standing
414,2.79,-9.45,-0.15,Standing
415,2.7,-9.22,-0.2,Standing
416,2.72,-9.47,-0.12,Standing
417,2.78,-9.75,-0.09,Standing
418,2.7,-9.62,-0.16,Standing
419,2.55,-9.26,-0.15,Standing
420,2.54,-9.23,-0.04,Standing
421,2.61,-9.55,0.0,Standing
422,2.64,-9.7,-0.08,Standing
423,2.75,-9.56,-0.2,Standing
424,2.8,-9.3,-0.13,Standing
425,2.85,-9.22,0.05,Standing
426,2.86,-9.48,0.24,Standing
427,2.86,-9.7,0.36,Standing
428,2.88,-9.59,0.21,Standing
429,2.82,-9.49,0.06,Standing
430,2.63,-9.51,0.03,Standing
431,2.34,-9.5,0.07,Standing
432,2.15,-9.48,0.07,Standing
433,2.15,-9.48,-0.04,Standing
434,2.45,-9.36,-0.31,Standing
435,2.88,-9.27,-0.47,Standing
436,3.11,-9.4,-0.35,Standing
437,3.17,-9.58,-0.03,Standing
438,3.2,-9.51,0.14,Standing
439,3.18,-9.31,-0.02,Standing
440,3.17,-9.4,-0.18,Standing
441,3.06,-9.54,-0.29,Standing
442,2.73,-9.4,-0.33,Standing
443,2.55,-9.23,-0.18,Standing
444,2.64,-9.28,-0.05,Standing
445,2.92,-9.53,-0.07,Standing
446,3.09,-9.74,-0.15,Standing
447,3.0,-9.67,-0.23,Standing
448,2.78,-9.33,-0.18,Standing
449,2.61,-8.97,-0.17,Standing
450,2.78,-9.22,-0.19,Standing
451,2.96,-9.78,-0.16,Standing
452,2.84,-9.95,-0.23,Standing
453,2.5,-9.43,-0.36,Standing
454,2.39,-8.94,-0.47,Standing
455,2.74,-8.99,-0.49,Standing
456,3.15,-9.41,-0.45,Standing
457,3.32,-9.56,-0.44,Standing
458,3.33,-9.43,-0.49,Standing
459,3.34,-9.16,-0.44,Standing
460,3.22,-9.05,-0.39,Standing
461,3.18,-9.39,-0.47,Standing
462,3.22,-9.71,-0.58,Standing
463,3.18,-9.6,-0.7,Standing
464,3.03,-9.29,-0.65,Standing
465,2.86,-9.05,-0.45,Standing
466,2.87,-9.02,-0.33,Standing
467,3.2,-9.34,-0.29,Standing
468,3.49,-9.42,-0.33,Standing
469,3.54,-9.24,-0.37,Standing
470,3.46,-9.14,-0.24,Standing
471,3.22,-9.16,-0.07,Standing
472,2.97,-9.26,-0.07,Standing
473,2.8,-9.4,-0.22,Standing
474,2.7,-9.53,-0.42,Standing
475,2.64,-9.63,-0.63,Standing
476,2.53,-9.59,-0.63,Standing
477,2.49,-9.5,-0.56,Standing
478,2.54,-9.41,-0.44,Standing
479,2.68,-9.38,-0.41,Standing
480,2.83,-9.42,-0.41,Standing
481,2.91,-9.38,-0.48,Standing
482,3.01,-9.32,-0.57,Standing
483,3.33,-9.16,-0.39,Standing
484,2.92,-9.36,-0.49,Standing
485,2.76,-9.44,-0.13,Standing
486,2.59,-9.47,-0.21,Standing
487,2.54,-9.45,-0.29,Standing
488,2.63,-9.4,-0.42,Standing
489,2.91,-9.39,-0.54,Standing
490,3.13,-9.39,-0.54,Standing
491,3.12,-9.34,-0.44,Standing
492,2.98,-9.37,-0.36,Standing
493,2.88,-9.45,-0.29,Standing
494,2.81,-9.51,-0.27,Standing
