timeElapsed,x,y,z,label
646,1.26,-8.97,-0.45,Standing
647,1.31,-6.19,-0.17,Standing
648,2.06,-5.38,0.21,Standing
649,2.63,-8.3,-0.02,Standing
650,1.85,-9.81,-0.45,Standing
651,1.37,-9.31,-0.7,Standing
652,1.5,-8.59,-0.5,Standing
653,1.58,-8.54,-0.15,Standing
654,1.51,-8.65,-0.07,Standing
655,1.51,-8.58,-0.31,Standing
656,1.74,-8.55,-0.38,Standing
657,2.12,-8.57,-0.24,Standing
658,2.43,-8.62,-0.07,Standing
659,2.38,-8.6,-0.11,Standing
660,2.04,-8.54,-0.15,Standing
661,1.75,-8.63,-0.16,Standing
662,1.75,-8.67,-0.18,Standing
663,1.83,-8.68,-0.17,Standing
664,1.84,-8.59,-0.11,Standing
665,1.85,-8.44,-0.07,Standing
666,1.86,-8.42,-0.13,Standing
667,1.78,-8.66,-0.19,Standing
668,1.75,-8.92,-0.27,Standing
669,1.81,-8.99,-0.27,Standing
670,2.03,-8.87,-0.13,Standing
671,2.24,-8.33,-0.09,Standing
672,2.45,-7.84,0.03,Standing
673,2.41,-7.91,0.22,Standing
674,2.29,-8.31,0.36,Standing
675,2.34,-8.78,0.48,Standing
676,2.34,-9,0.34,Standing
677,2.15,-8.61,0.11,Standing
678,1.73,-8.08,0.47,Standing
679,1.55,-8.02,0.65,Standing
680,1.27,-8.75,0.69,Standing
681,1.07,-8.96,0.37,Standing
682,0.83,-8.88,0.11,Standing
683,0.97,-8.98,0.11,Standing
684,1.65,-8.64,0.04,Standing
685,1.77,-8.46,0.26,Standing
686,1.57,-8.71,0.8,Standing
687,1.78,-8.7,1.16,Standing
688,1.66,-8.58,0.72,Standing
689,1.17,-9.06,0.33,Standing
690,1.22,-9.23,0.13,Standing
691,1.81,-8.31,0.35,Standing
692,2.15,-7.72,0.79,Standing
693,2.15,-7.98,1.26,Standing
694,1.97,-8.89,1.48,Standing
695,0.97,-9.07,1.04,Standing
696,0.73,-9.25,1.44,Standing
697,1.26,-9.06,1.24,Standing
698,0.75,-8.54,1.2,Standing
699,0.25,-8.59,1.48,Standing
700,0.25,-8.75,2.45,Standing
701,1.09,-8.4,3.19,Standing
702,1.95,-7.48,2.93,Standing
703,3,-7.34,2.7,Standing
704,3.15,-7.76,2.61,Standing
705,3.13,-8.21,1.77,Standing
706,2.66,-8.41,1.09,Standing
707,2.53,-9.24,0.95,Standing
708,2.37,-9.59,1.04,Standing
709,2.4,-9.15,1.5,Standing
710,2.6,-8.47,2.28,Standing
711,2.39,-7.71,2.6,Standing
712,2.53,-7.85,2.71,Standing
713,2.06,-8.27,2.95,Standing
714,1.43,-8.34,2.62,Standing
715,1.1,-8.29,2.72,Standing
716,1.31,-8.12,2.29,Standing
717,2.19,-8.09,2.4,Standing
718,2.23,-8.47,2.6,Standing
719,2.1,-8.4,2.54,Standing
720,1.48,-8.14,2.71,Standing
721,1.87,-8.14,2.54,Standing
722,2.02,-8.53,2.54,Standing
723,1.65,-8.69,2.65,Standing
724,1.63,-8.56,2.71,Standing
725,1.16,-7.76,3.07,Standing
726,1.13,-7.3,3.31,Standing
727,2.39,-7.76,3,Standing
728,2.26,-8.19,2.91,Standing
729,1.55,-8.14,2.77,Standing
730,1.24,-8.24,2.63,Standing
731,1.17,-8.62,2.66,Standing
732,1.43,-8.41,2.79,Standing
733,1.51,-8.26,2.52,Standing
734,1.32,-8.32,2.92,Standing
735,1.59,-8.19,3.07,Standing
736,1.52,-8.08,2.92,Standing
737,1.39,-8.2,2.82,Standing
738,1.53,-8.24,2.83,Standing
739,1.6,-8.17,2.89,Standing
740,1.69,-8.14,2.95,Standing
741,1.76,-8.22,3.03,Standing
742,1.62,-8.36,2.97,Standing
743,1.51,-8.23,2.86,Standing
744,1.59,-8.1,2.88,Standing
745,1.64,-8.09,2.8,Standing
746,1.66,-8.23,2.92,Standing
747,1.7,-8.08,2.88,Standing
748,1.86,-7.89,2.78,Standing
749,1.42,-8.32,2.8,Standing
750,0.61,-8.68,2.4,Standing
751,0.71,-9.01,1.84,Standing
752,1.57,-9.21,1.56,Standing
753,2.05,-8.55,1.46,Standing
754,1.5,-8.2,1.33,Standing
755,1.27,-7.99,1.68,Standing
756,1.62,-8.21,1.69,Standing
757,1.6,-8.66,1.54,Standing
758,1.42,-8.72,1.36,Standing
759,1.41,-8.81,1.5,Standing
760,1.5,-9.1,1.55,Standing
761,1.44,-8.66,1.71,Standing
762,1.38,-7.96,1.76,Standing
763,1.41,-7.77,1.55,Standing
764,1.03,-8.21,1.49,Standing
765,1.08,-8.41,1.49,Standing
766,1.33,-8.62,1.32,Standing
767,1.38,-9.04,0.99,Standing
768,1.33,-8.97,1.11,Standing
769,1.36,-8.5,0.91,Standing
770,0.73,-8.02,1.16,Standing
771,1.38,-8.39,1.35,Standing
772,3.16,-8.61,0.84,Standing
773,3.67,-8.61,1.34,Standing
774,2.37,-8.6,0.8,Standing
775,1.63,-8.39,0.52,Standing
776,1.61,-8.54,0.88,Standing
777,1.65,-8.78,0.66,Standing
778,1.74,-8.8,0.21,Standing
779,1.82,-8.77,0.23,Standing
780,1.66,-8.65,0.55,Standing
781,1.57,-8.53,0.66,Standing
782,1.76,-8.53,0.6,Standing
783,1.98,-8.6,0.55,Standing
784,2.03,-8.57,0.52,Standing
785,1.95,-8.53,0.57,Standing
786,1.87,-8.61,0.7,Standing
787,1.89,-8.7,0.65,Standing
788,2.06,-8.66,0.58,Standing
789,2.25,-8.64,0.6,Standing
790,2.27,-8.57,0.72,Standing
791,2.21,-8.51,0.82,Standing
792,2.19,-8.59,0.81,Standing
793,2.19,-8.63,0.75,Standing
794,2.19,-8.64,0.69,Standing
795,2.22,-8.57,0.67,Standing
796,2.31,-8.48,0.76,Standing
797,2.33,-8.37,0.91,Standing
798,2.28,-8.27,1.03,Standing
799,2.23,-8.34,1.08,Standing
800,2.2,-8.5,1.07,Standing
801,2.08,-8.56,0.93,Standing
802,1.94,-8.55,0.82,Standing
803,1.77,-8.58,0.8,Standing
804,1.67,-8.72,0.85,Standing
805,1.59,-8.76,0.85,Standing
806,1.38,-8.6,0.7,Standing
807,1.16,-8.43,0.61,Standing
808,1.34,-8.54,0.79,Standing
809,1.56,-8.96,1.03,Standing
810,1.54,-9.07,0.94,Standing
811,1.41,-8.74,0.68,Standing
812,1.14,-8.42,0.72,Standing
813,1.04,-8.43,0.81,Standing
814,1.18,-8.59,0.73,Standing
815,1.57,-8.62,0.63,Standing
816,1.98,-8.57,0.6,Standing
817,2.11,-8.54,0.71,Standing
818,1.98,-8.49,0.77,Standing
819,1.82,-8.52,0.83,Standing
820,1.82,-8.64,0.9,Standing
821,1.62,-8.57,0.73,Standing
822,1.3,-8.57,0.67,Standing
823,1.26,-8.68,0.92,Standing
824,1.41,-8.69,1.08,Standing
825,1.55,-8.55,1.09,Standing
826,1.57,-8.54,1.1,Standing
827,1.73,-8.72,1.28,Standing
828,1.83,-8.8,1.18,Standing
829,1.6,-8.51,0.77,Standing
830,1.36,-8.52,0.85,Standing
831,1.26,-8.74,1.02,Standing
832,1.2,-8.67,0.98,Standing
833,1.14,-8.54,0.93,Standing
834,1.24,-8.57,1.03,Standing
835,1.27,-8.74,1.18,Standing
836,1.21,-8.83,1.19,Standing
837,1.13,-8.7,1.08,Standing
838,1.19,-8.65,1.08,Standing
839,1.37,-8.73,1.12,Standing
840,1.45,-8.77,0.97,Standing
841,1.42,-8.71,0.78,Standing
842,1.4,-8.7,0.69,Standing
843,1.43,-8.69,0.75,Standing
844,1.48,-8.72,0.88,Standing
845,1.54,-8.73,1.01,Standing
846,1.63,-8.73,1.13,Standing
847,1.64,-8.68,1.12,Standing
848,1.83,-8.67,1.2,Standing
849,1.71,-8.5,0.86,Standing
850,1.36,-8.3,0.64,Standing
851,1.42,-8.52,1.05,Standing
852,1.67,-8.5,1.03,Standing
853,1.71,-8.42,1.2,Standing
854,1.71,-8.38,0.87,Standing
855,2.06,-8.44,0.9,Standing
856,2.19,-8.52,1.34,Standing
857,2.15,-8.24,2.2,Standing
