timeElapsed,x,y,z,label
0,0.413040161,0.878448486,0.026168823,standToSit1
0.1,0.46257019,0.758789063,0.313018799,standToSit1
0.199,0.546524048,0.559890747,0.594940186,standToSit1
0.299,0.348983765,0.484649658,0.514312744,standToSit1
0.398,0.515930176,0.342544556,0.69670105,standToSit1
0.498,0.552963257,0.235687256,0.800216675,standToSit1
0.597,0.556243896,0.095397949,0.924713135,standToSit1
0.697,0.499755859,-0.074935913,0.898956299,standToSit1
0.796,0.454849243,-0.239974976,1.020431519,standToSit1
0.896,0.337799072,-0.234802246,0.999465942,standToSit1
0.995,0.179702759,-0.409057617,0.980926514,standToSit1
1.095,0.405853271,-0.041992188,1.030441284,standToSit1
1.194,0.301147461,-0.160598755,0.93522644,standToSit1
1.294,0.280029297,-0.218856812,0.966888428,standToSit1
1.394,0.329071045,-0.095062256,0.964630127,standToSit1
1.493,0.29486084,-0.118408203,0.968841553,sit1
1.593,0.278839111,-0.125808716,0.959091187,sit1
1.692,0.296661377,-0.108520508,0.947265625,sit1
1.792,0.293029785,-0.111343384,0.967285156,sit1
1.891,0.297073364,-0.10748291,0.980575562,sit1
1.991,0.30078125,-0.097045898,0.972610474,sit1
2.09,0.290649414,-0.111999512,0.96434021,sit1
2.19,0.295608521,-0.113586426,0.96472168,sit1
2.289,0.293487549,-0.110565186,0.964904785,sit1
2.389,0.289672852,-0.118438721,0.96232605,sit1
2.488,0.289535522,-0.109481812,0.963180542,sit1
2.588,0.291641235,-0.111175537,0.966308594,sit1
2.688,0.294998169,-0.106552124,0.966003418,sit1
2.787,0.294906616,-0.11138916,0.964950562,sit1
2.887,0.285430908,-0.114929199,0.96812439,sit1
2.986,0.297119141,-0.109359741,0.96295166,sit1
3.086,0.293060303,-0.118331909,0.963317871,sit1
3.185,0.284851074,-0.115951538,0.96774292,sit1
3.285,0.294189453,-0.110458374,0.965103149,sit1
3.384,0.29649353,-0.116424561,0.963302612,sit1
3.484,0.287567139,-0.114028931,0.963394165,sit1
3.583,0.289321899,-0.109573364,0.966110229,sit1
3.683,0.284744263,-0.114959717,0.96812439,sit1
3.783,0.291000366,-0.111465454,0.967773438,sit1
3.882,0.298080444,-0.114959717,0.9637146,sit1
3.982,0.286697388,-0.114593506,0.967727661,sit1
4.081,0.289093018,-0.110977173,0.96774292,sit1
4.181,0.293380737,-0.117797852,0.967224121,sit1
4.28,0.297744751,-0.113113403,0.967010498,sit1
4.38,0.290756226,-0.114334106,0.965423584,sit1
4.479,0.286483765,-0.112792969,0.967422485,sit1
4.579,0.28918457,-0.114257813,0.964263916,sit1
4.678,0.293609619,-0.112609863,0.964385986,sit1
4.778,0.291290283,-0.113327026,0.967056274,sit1
4.877,0.291564941,-0.113800049,0.964813232,sit1
4.977,0.287796021,-0.115722656,0.963607788,sit1
5.076,0.290802002,-0.113769531,0.95942688,sit1
5.176,0.289230347,-0.114486694,0.964279175,sit1
5.276,0.289154053,-0.110031128,0.965408325,sit1
5.375,0.292419434,-0.111434937,0.961517334,sit1
5.475,0.29258728,-0.113586426,0.966369629,sit1
5.574,0.290817261,-0.121139526,0.963043213,sit1
5.674,0.290298462,-0.111083984,0.965393066,sit1
5.773,0.290863037,-0.112045288,0.963882446,sit1
5.873,0.284591675,-0.115753174,0.963745117,sit1
5.972,0.288696289,-0.115264893,0.965240479,sit1
6.072,0.291625977,-0.109283447,0.968063354,sit1
6.171,0.289962769,-0.108581543,0.962417603,sit1
6.271,0.287963867,-0.112976074,0.963348389,sit1
6.37,0.290939331,-0.111068726,0.964691162,sit1
6.47,0.29486084,-0.105529785,0.971725464,sit1
6.569,0.294067383,-0.109207153,0.966247559,sit1
6.669,0.286804199,-0.111923218,0.968032837,sit1
6.768,0.293731689,-0.114746094,0.969146729,sit1
6.868,0.290786743,-0.10836792,0.960266113,sit1
6.967,0.289077759,-0.107162476,0.959793091,sit1
7.067,0.294158936,-0.114593506,0.965209961,sit1
7.167,0.297485352,-0.114501953,0.96762085,sit1
7.266,0.297714233,-0.106369019,0.96232605,sit1
7.366,0.29284668,-0.103759766,0.958297729,sit1
7.465,0.295272827,-0.113967896,0.962020874,sit1
7.565,0.28894043,-0.113739014,0.965454102,sit1
7.664,0.290344238,-0.120071411,0.976318359,sit1
7.764,0.287734985,-0.110809326,0.972549438,sit1
7.863,0.288711548,-0.110137939,0.965148926,sit1
7.963,0.28793335,-0.120437622,0.976379395,sit1
8.062,0.287231445,-0.118179321,0.970397949,sit1
8.162,0.294158936,-0.108154297,0.963088989,sit1
8.261,0.289077759,-0.109085083,0.960540771,sit1
8.361,0.288406372,-0.110321045,0.96446228,sit1
8.46,0.29246521,-0.113037109,0.96635437,sit1
8.56,0.288925171,-0.11416626,0.965362549,sit1
8.66,0.291427612,-0.114837646,0.966766357,sit1
8.759,0.288726807,-0.11390686,0.965698242,sit1
8.859,0.285461426,-0.111877441,0.965255737,sit1
8.958,0.289352417,-0.113311768,0.964096069,sit1
9.058,0.288818359,-0.112533569,0.967971802,sit1
9.157,0.289352417,-0.112930298,0.966690063,sit1
9.257,0.289321899,-0.113357544,0.964691162,sit1
9.356,0.287353516,-0.112411499,0.964279175,sit1
9.456,0.290740967,-0.110824585,0.966018677,sit1
9.555,0.291732788,-0.105163574,0.970611572,sit1
9.655,0.293243408,-0.111434937,0.964233398,sit1
9.754,0.289794922,-0.109100342,0.966506958,sit1
9.854,0.287643433,-0.111465454,0.965698242,sit1
9.953,0.289535522,-0.109375,0.965515137,sit1
10.053,0.289550781,-0.11000061,0.965530396,sit1
10.152,0.289642334,-0.111175537,0.965576172,sit1
10.252,0.291122437,-0.110778809,0.966018677,sit1
10.351,0.285720825,-0.114654541,0.965881348,sit1
10.451,0.289993286,-0.111572266,0.967208862,sit1
10.551,0.286849976,-0.11038208,0.96635437,sit1
10.65,0.288009644,-0.11227417,0.96522522,sit1
10.75,0.289154053,-0.11390686,0.966262817,sit1
10.849,0.288192749,-0.112976074,0.966293335,sit1
10.949,0.290634155,-0.114364624,0.965866089,sit1
11.048,0.28565979,-0.11505127,0.965621948,sit1
11.148,0.291870117,-0.109298706,0.964370728,sit1
11.247,0.284881592,-0.115524292,0.966339111,sit1
11.347,0.288925171,-0.110855103,0.967971802,sit1
11.446,0.287643433,-0.110198975,0.965515137,sit1
11.546,0.289611816,-0.111602783,0.96421814,sit1
11.645,0.288665771,-0.11177063,0.965652466,sit1
11.745,0.28817749,-0.113601685,0.964706421,sit1
11.844,0.285888672,-0.112091064,0.966812134,sit1
11.944,0.291305542,-0.107070923,0.966888428,sit1
12.043,0.288742065,-0.110015869,0.965270996,sit1
12.143,0.289505005,-0.113540649,0.963867188,sit1
12.243,0.287979126,-0.11138916,0.965423584,sit1
12.342,0.292175293,-0.110702515,0.964569092,sit1
12.442,0.290237427,-0.109771729,0.965744019,sit1
12.541,0.288482666,-0.113143921,0.96434021,sit1
12.641,0.288223267,-0.112350464,0.964904785,sit1
12.74,0.287658691,-0.111633301,0.96395874,sit1
12.84,0.290466309,-0.109786987,0.966415405,sit1
12.939,0.287231445,-0.11138916,0.965744019,sit1
13.039,0.290328979,-0.109542847,0.965713501,sit1
13.138,0.291702271,-0.106994629,0.965866089,sit1
13.238,0.297744751,-0.106903076,0.967529297,sit1
13.338,0.284439087,-0.119628906,0.966873169,sit1
13.437,0.28729248,-0.134307861,0.953704834,sit1
13.537,0.299255371,-0.13520813,0.954574585,sitToStand1
13.636,0.276763916,-0.188247681,0.960540771,sitToStand1
13.736,0.177581787,-0.360198975,0.982376099,sitToStand1
13.835,0.267074585,-0.31022644,1.110214233,sitToStand1
13.935,0.510437012,-0.168151855,1.053573608,sitToStand1
14.034,0.515625,-0.047058105,0.86819458,sitToStand1
14.134,0.5625,0.139190674,0.843978882,sitToStand1
14.233,0.534133911,0.28994751,0.779937744,sitToStand1
14.333,0.517410278,0.407867432,0.723175049,sitToStand1
14.432,0.553588867,0.616073608,0.587905884,sitToStand1
14.532,0.431762695,0.666229248,0.339736938,sitToStand1
14.632,0.338775635,0.651306152,0.255004883,sitToStand1
14.731,0.406173706,0.944046021,0.055282593,sitToStand1
14.831,0.38671875,1.010574341,-0.094146729,sitToStand1
14.93,0.43421936,0.913909912,-0.001342773,sitToStand1
15.0295,0.469619751,0.782211304,0.341262817,stairDown
15.1289,0.392120361,0.605804443,0.372467041,stairDown
15.2283,0.346572876,0.581329346,0.383468628,stairDown
15.3277,0.478851318,0.717071533,0.437606812,stairDown
15.4271,0.2915802,0.90222168,0.346008301,stairDown
15.5265,0.288650513,0.683761597,0.073852539,stairDown
15.6259,0.499435425,1.407958984,0.102844238,stairDown
15.7253,0.36517334,0.939849854,-0.065704346,stairDown
15.8247,0.262649536,0.62991333,0.233184814,stairDown
15.9241,-0.00378418,0.513656616,0.178787231,stairDown
16.0235,0.168334961,0.655548096,0.393005371,stairDown
16.1229,0.908584595,1.593673706,0.483261108,stairDown
16.2223,0.457275391,0.920349121,0.335769653,stairDown
16.3217,0.414352417,0.059844971,0.166900635,stairDown
16.4211,0.40814209,0.421524048,0.229629517,stairDown
16.5205,0.349945068,0.720367432,0.521255493,stairDown
16.6199,0.712127686,0.940734863,-0.269454956,stairDown
16.7193,0.221755981,0.776565552,-0.036834717,stairDown
16.8187,0.275466919,0.692840576,0.166534424,stairDown
16.9181,0.110855103,0.911972046,0.229827881,stairDown
17.0175,0.05039978,0.549743652,0.266159058,stairDown
17.1169,0.277786255,0.67855835,0.349349976,stairDown
17.2163,0.471939087,1.568466187,0.163665771,stairDown
17.3157,0.706893921,0.894088745,0.492507935,stairDown
17.4151,0.345657349,0.330093384,0.115859985,stairDown
17.5145,0.25378418,0.378204346,0.141525269,stairDown
17.6139,0.709259033,0.275100708,0.672393799,stairDown
17.7133,0.088851929,2.520690918,0.536499023,stairDown
17.8127,0.275238037,1.343521118,0.004898071,stairDown
17.9121,0.33454895,0.716018677,0.374328613,stairDown
18.0115,-0.016021729,0.497680664,0.338775635,stairDown
18.1109,0.069320679,0.70262146,0.251876831,stairDown
18.2103,0.74395752,1.747039795,0.477249146,stairDown
18.3097,0.550384521,0.846511841,0.275024414,stairDown
18.4091,0.408172607,0.175079346,0.089355469,stairDown
18.5085,0.192840576,0.455917358,0.237503052,stairDown
18.6079,0.508331299,0.361465454,0.724563599,stairDown
18.7073,0.454940796,1.899917603,0.545333862,stairDown
18.8067,0.402160645,1.202102661,-0.016372681,stairDown
18.9061,0.201934814,0.738189697,0.222915649,stairDown
19.0055,0.102020264,0.552322388,0.363586426,stairDown
19.1049,0.157669067,0.689453125,0.321640015,stairDown
19.2043,0.599822998,1.602706909,0.324462891,stairDown
19.3037,0.603622437,1.537628174,0.419082642,stairDown
19.4031,0.38117981,0.448287964,0.1925354,stairDown
19.5025,0.227996826,0.131607056,0.149337769,stairDown
19.6019,0.499069214,1.222961426,0.799911499,stairDown
19.7013,0.8097229,1.385192871,-0.853424072,stairDown
19.8007,0.611297607,1.116104126,-0.039520264,stairDown
19.9001,0.200958252,0.790267944,0.206481934,stairDown
19.9995,0.061141968,0.711929321,0.360427856,stairDown
20.0989,0.30632019,0.439453125,0.313430786,stairDown
20.1983,0.884719849,1.63067627,0.583786011,stairDown
20.2977,0.51171875,1.273651123,0.584365845,stairDown
20.3971,0.346847534,0.238479614,0.155044556,stairDown
20.4965,0.258529663,0.359115601,0.199493408,stairDown
20.5959,0.51550293,0.296417236,0.85899353,stairDown
20.6953,0.479492188,1.569732666,0.424697876,stairDown
20.7947,0.335067749,1.32585144,0.238693237,stairDown
20.8941,0.285949707,0.714660645,0.297683716,stairDown
20.9935,0.117218018,0.472229004,0.44303894,stairDown
21.0929,0.390106201,0.437133789,0.188354492,stairDown
21.1923,0.51260376,1.490432739,0.460449219,stairDown
21.2917,0.517364502,0.632995605,0.39151001,stairDown
21.3911,0.403930664,0.087005615,0.232498169,stairDown
21.4905,0.707138062,0.921356201,0.60697937,stairDown
21.5899,0.392745972,1.648895264,-1.427474976,stairDown
21.6893,0.194473267,1.247329712,0.05291748,stairUp
21.7887,0.339019775,1.123779297,0.022293091,stairUp
21.8881,0.574295044,0.630844116,0.380462646,stairUp
21.9875,0.320510864,0.283782959,0.505981445,stairUp
22.0869,0.382080078,0.121520996,0.707260132,stairUp
22.1863,1.051147461,0.543121338,0.597015381,stairUp
22.2857,0.158950806,0.642547607,0.053955078,stairUp
22.3851,0.63999939,0.836837769,0.425598145,stairUp
22.4845,0.065246582,0.939056396,0.095046997,stairUp
22.5839,0.336929321,0.581863403,0.185302734,stairUp
22.6833,0.123458862,1.048980713,0.084594727,stairUp
22.7827,0.32484436,1.518508911,0.103546143,stairUp
22.8821,0.511077881,1.162734985,0.400894165,stairUp
22.9815,0.216690063,1.325775146,-0.189025879,stairUp
23.0809,0.507461548,0.718521118,0.503128052,stairUp
23.1803,0.194046021,0.087936401,0.261886597,stairUp
23.2797,0.328369141,0.100814819,0.50958252,stairUp
23.3791,1.2003479,1.39074707,1.24382019,stairUp
23.4785,0.288955688,0.90687561,0.302734375,stairUp
23.5779,0.389007568,0.953948975,0.308868408,stairUp
23.6773,0.141372681,0.973709106,0.090377808,stairUp
23.7767,0.10496521,0.746582031,0.232635498,stairUp
23.8761,0.30406189,1.081634521,0.277664185,stairUp
23.9755,0.390731812,1.594848633,-0.207702637,stairUp
24.0749,0.666656494,1.208328247,0.417449951,stairUp
24.1743,0.370285034,0.892776489,0.145935059,stairUp
24.2737,0.235275269,0.448303223,0.297027588,stairUp
24.3731,0.354248047,0.135787964,0.418670654,stairUp
24.4725,0.675445557,0.474609375,0.90663147,stairUp
