label,timeElapsed,x,y,z
Downstairs,439021,0.84,13.14,4.903325
Downstairs,928244,-2.64,6.66,-2.37
Downstairs,957374,-1.12,10.34,-2.68
Downstairs,439358,2.3,13.21,3.173541
Downstairs,954420,-3.98,9.7,2.53
Downstairs,635658,-1.54,14.79,0.27
Downstairs,39950,4.94,6.93,0.42223078
Downstairs,544149,9.81,7.31,0.08
Downstairs,47793,3.68,13.06,-1.1441092
Downstairs,926121,-0.38,5.22,-1.33
Downstairs,93103,3.41,7.93,1.2666923
Downstairs,814985,6.74,5.56,-0.19
Downstairs,44907,-1.57,8.62,0.040861044
Downstairs,302684,1.42,6.59,1.1849703
Downstairs,1031721,2.26,2.96,1.14
Downstairs,954512,-10.31,6.28,2.22
Downstairs,210338,-2.03,5.94,6.1700177
Downstairs,235734,-1.23,9.89,0.46309182
Downstairs,808889,-9.23,9.3,-2.37
Downstairs,93292,0.95,18.62,-0.61291564
Downstairs,299423,-5.13,6.59,1.0351465
Downstairs,89464,5.79,6.36,3.5957718
Downstairs,926102,0.65,9.28,-1.61
Downstairs,597517,-1.95,-1.5,0.99
Downstairs,490142,3.68,10.38,1.31
Downstairs,1080498,-2.3,8.35,-1.38
Downstairs,854712,-0.76,16.78,6.09
Downstairs,855262,1.42,9.15,0.76
Downstairs,90916,-2.79,9.04,1.4165162
Downstairs,544878,5.48,15.02,-8.85
Downstairs,898354,1.46,16.28,-1.18
Downstairs,42240,-2.03,11.14,-1.2258313
Downstairs,341423,2.49,-8.54,-0.27240697
Downstairs,892253,-1.73,11.41,-4.86
Downstairs,635889,-4.25,14.63,0.57
Downstairs,926070,-1.31,14.56,-3.49
Downstairs,441411,1.76,5.83,3.405087
Downstairs,927957,-3.95,7.86,-1.65
Downstairs,545149,17.24,15.05,-9.08
Downstairs,670218,-0.3,9.96,1.95
Downstairs,48080,0.34,5.24,2.1111538
Downstairs,339465,3.06,2.91,1.6480621
Downstairs,691059,-17.39,5.79,-4.82
Downstairs,49194,-0.89,9.96,6.0201936
Downstairs,95849,-3.21,5.24,-3.2961242
Downstairs,954415,-4.56,-3.02,4.25
Downstairs,763388,-1.04,6.74,1.12
Downstairs,416673,-3.68,6.59,4.94
Downstairs,44315,-2.68,14.21,-2.7513103
Downstairs,381807,-0.95,2.6,0.6537767
Downstairs,669119,-0.91,15.94,-3.79
Downstairs,489740,2.03,7.5,1.12
Downstairs,1076778,11.45,1.92,-0.23
Downstairs,814787,7.21,2.11,0.61
Downstairs,847701,2.07,6.05,4.94
Downstairs,153944,0.93,7.86,0.7627395
Downstairs,382079,6.74,13.57,2.3018389
Downstairs,927906,-3.87,5.79,-0.8
Downstairs,126040,0.99,8.08,1.879608
Downstairs,208452,2.79,6.21,1.4982382
Downstairs,152742,-1.14,8.58,2.1792557
Downstairs,1033146,19.34,9.08,0.65
Downstairs,811253,-3.34,9.43,-0.31
Downstairs,179802,0.19,10.04,-0.9942854
Downstairs,729495,5.22,9.38,0.5
Downstairs,91141,-6.51,9,0.3405087
Downstairs,489578,-1.69,8.35,-1.5
Downstairs,488151,6.13,11.07,-0.61
Downstairs,854766,0.65,17.88,3.45
Downstairs,47812,1.27,10.5,1.1849703
Downstairs,181939,5.94,9.28,1.2258313
Downstairs,339190,2.53,5.48,1.920469
