label,timeElapsed,x,y,z
Jogging,25578,-2.79,4.4,1.1441092
Jogging,614396,-4.33,-1.65,4.67
Jogging,229516,-4.52,12.68,8.308413
Jogging,624140,-1.14,9.15,3.02
Jogging,1040417,9.7,10,2.72
Jogging,540716,-1.95,-2.53,1.14
Jogging,202804,9.34,-12.76,-1.0351465
Jogging,83461,-2.49,14.56,-4.903325
Jogging,226738,-7.63,18.47,6.851035
Jogging,979630,8.85,3.91,1.95
Jogging,829923,2.6,18.92,2.96
Jogging,539166,-3.02,14.71,0.31
Jogging,308555,-9.62,6.02,4.0588636
Jogging,290824,10.92,3.91,2.6832085
Jogging,481222,-16.04,-7.04,11.18
Jogging,231318,-4.63,8.39,-1.525479
Jogging,983089,5.22,17.88,2.53
Jogging,986031,13.8,-4.44,9.92
Jogging,584049,-18.96,-10.15,3.87
Jogging,6971,10.991621,0.95342433,0.7627395
Jogging,306349,-1.33,-3.49,-2.3426998
Jogging,163318,-4.94,2.26,13.484144
Jogging,828765,6.82,18.39,10.8
Jogging,371911,7.93,8.28,5.5162406
Jogging,1066147,-1.88,-2.91,-0.53
Jogging,479344,6.82,0.5,-4.56
Jogging,709706,3.99,19.57,-4.06
Jogging,104824,8.81,5.48,8.158588
Jogging,510043,16.59,2.26,3.57
Jogging,948709,6.44,17.92,8.85
Jogging,135142,15.55,8.96,9.466142
Jogging,647592,-0.46,13.82,-16.89
Jogging,230804,-5.52,10.76,1.1441092
Jogging,410449,-4.02,6.13,-7.12
Jogging,228438,-4.82,10.8,4.099725
Jogging,828288,7.78,9.96,3.36
Jogging,228624,5.71,9.3,8.117727
Jogging,319124,3.45,10.8,2.6423476
Jogging,130613,4.02,0.08,0.7218784
Jogging,74829,-2.83,4.14,-5.175732
Jogging,1021556,3.76,5.6,0.08
Jogging,915764,2.53,5.13,5.6
Jogging,281812,-8.24,-13.29,-11.836082
Jogging,478003,-0.53,4.67,-1.23
Jogging,539294,-6.51,15.28,-2.03
Jogging,82359,-2.96,2.07,-5.7886477
Jogging,193559,3.02,-0.95,2.982856
Jogging,158751,-4.63,14.94,-5.053149
Jogging,652103,1.18,8.66,2.15
Jogging,594127,14.37,-2.26,6.36
Jogging,644128,-1.92,19.27,-1.57
Jogging,800685,15.47,-9.23,-1.54
Jogging,761263,2.56,-3.17,1.46
Jogging,1064252,-3.95,1.84,-4.75
Jogging,536880,-3.02,2.22,-6.89
Jogging,25308,10.46,5.28,-2.982856
Jogging,653998,9.85,-1.8,-15.4
Jogging,410559,-6.05,-17.31,-6.36
Jogging,841534,-5.63,3.49,1.8
Jogging,801430,3.49,-1.27,-0.76
Jogging,410455,-12.03,8.35,-2.34
Jogging,34085,18.09,19.57,3.636633
Jogging,164797,2.6,0.8,1.8387469
Jogging,310062,-11.69,6.17,2.3426998
Jogging,789376,-7.27,18.12,-4.14
Jogging,229192,-1.5,14.63,10.378705
Jogging,789472,-19.23,19.76,4.06
Jogging,227040,-1.18,3.45,-3.336985
Jogging,227393,3.64,0.89,1.7570249
Jogging,318855,9.43,15.47,5.407278
Jogging,668561,6.7,12.03,-6.55
Jogging,133920,-0.27,2.76,0.5720546
Jogging,707622,6.82,9.96,-0.8
Jogging,138206,-0.65,1.65,-1.7978859
Jogging,986802,12.72,-7.01,9.89
Jogging,580195,10.08,5.37,0.19
Jogging,1065755,-0.38,-7.08,-3.6
Jogging,623645,-4.18,8.58,-4.33
Jogging,161721,19.57,-2.14,4.099725
Jogging,789581,-14.21,7.4,0.19
Jogging,412181,-0.3,15.13,13.59
Jogging,710858,-3.3,5.43,-2.87
Jogging,789025,-17.39,17.88,-1.99
Jogging,1051704,-0.95,7.46,-0.69
Jogging,760100,2.07,8.12,-5.86
Jogging,623392,-7.86,5.13,11.11
Jogging,862793,-4.79,-6.47,-13.59
Jogging,6056,3.486809,2.7649305,3.759216
Jogging,986625,19.34,3.15,13.29
Jogging,758622,13.1,20.04,-16.47
Jogging,878181,-2.72,-0.76,-2.15
Jogging,72043,14.86,8.08,-0.23154591
Jogging,163242,0.89,-3.15,-0.53119355
Jogging,1010080,-18.66,10.8,-6.89
Jogging,747085,7.74,-0.91,13.95
Jogging,281033,9.38,0.89,3.990762
Jogging,223253,-4.63,-7.65,-4.140586
Jogging,509127,9.62,5.67,-1.53
Jogging,399474,-7.93,-11.6,-6.02
Jogging,539095,-0.69,1.42,-13.1
Jogging,644216,2.41,4.37,3.34
Jogging,1043200,0.65,-0.84,-1.04
Jogging,983974,1.42,11.03,-1.5
Jogging,610380,-5.79,14.9,0.27
Jogging,289355,14.37,2.41,3.990762
Jogging,131648,11.22,-15.32,0.313268
Jogging,203474,-17.12,-0.61,6.5513873
Jogging,827275,-6.28,19.31,7.01
Jogging,6093,-4.671779,13.143636,5.053149
Jogging,374464,-4.37,14.41,-1.9477097
Jogging,610822,0.99,8.31,8.2
Jogging,397848,-1.33,-1.95,0
Jogging,989578,0.72,-2.41,1.33
Jogging,761719,19.91,18.31,-1.84
Jogging,876201,0.99,-8.2,-0.42
Jogging,948954,-7.35,1.69,-0.99
Jogging,130551,-1.5,-1.14,-1.920469
Jogging,261030,-18.2,16.7,0.50395286
Jogging,310516,-11.11,6.21,4.7126403
Jogging,253098,-4.37,0.99,-3.255263
Jogging,411777,-6.66,19.57,-3.64
Jogging,705811,15.83,17.24,-11.14
Jogging,226630,-8.43,-0.08,-1.1441092
Jogging,937738,8.08,-18.92,-4.06
Jogging,36165,19.57,9.11,-0.7218784
Jogging,1055534,-19.23,0.31,-1.31
Jogging,505041,6.17,-4.29,6.93
Jogging,509461,7.4,19.08,-13.72
Jogging,985145,7.55,6.78,5.41
Jogging,841564,0.08,-1.38,-0.69
Jogging,1050282,-9.51,-3.41,-2.83
Jogging,136669,15.6,2.91,8.662541
Jogging,482729,-18.62,8.35,-16.85
Jogging,22862,-8.88,3.68,-3.445948
Jogging,482860,-10.57,-2.72,6.78
Jogging,708704,10.95,19.57,-2.53
Jogging,201435,6.97,-1.76,-13.1708765
Jogging,291656,12.22,18.62,3.5957718
Jogging,261883,5.01,6.32,0.3405087
Jogging,190590,2.45,-2.45,0.9942854
Jogging,867368,0.91,5.09,6.78
Jogging,1055560,-14.14,0.31,-4.33
Jogging,879371,0.89,18.01,10.38
