label,timeElapsed,x,y,z
Sitting,562797,-0.84,3.76,9.43
Sitting,445448,5.01,6.74,5.71
Sitting,529671,5.71,5.09,6.66
Sitting,457769,5.56,2.53,8.2
Sitting,557945,-0.34,3.87,9.3
Sitting,562626,-0.99,3.87,9.28
Sitting,1085266,8.92,-1.18,2.3
Sitting,843518,2.68,2.26,8.92
Sitting,492258,8.12,-2.37,4.21
Sitting,816250,0.91,-0.15,9.7
Sitting,213436,3.49,9.23,0.9942854
Sitting,1038597,-6.55,-3.26,6.78
Sitting,842261,1.57,3.11,8.88
Sitting,455990,5.43,2.53,8.24
Sitting,447400,5.63,1.76,8.35
Sitting,213139,3.26,9.28,1.1849703
Sitting,627527,8.08,-2.18,4.21
Sitting,880921,1.27,-0.04,9.7
Sitting,571718,-4.79,3.11,8.12
Sitting,491762,8.16,-2.37,4.14
Sitting,816628,0.8,-0.23,9.7
Sitting,213796,3.21,9.3,1.1168685
Sitting,384867,4.33,2.98,7.9679036
Sitting,245241,-4.29,-2.26,8.240311
Sitting,491463,8.12,-2.41,4.02
Sitting,557148,0.46,3.95,9.23
Sitting,457549,5.52,2.53,8.28
Sitting,564786,-2.96,3.11,9.15
Sitting,452914,5.67,2.64,7.82
Sitting,627704,8.05,-2.18,4.14
Sitting,452714,5.75,2.72,7.82
Sitting,560246,-0.42,3.17,-1.69
Sitting,771918,-1.23,-1.46,9.47
Sitting,529261,5.56,5.33,6.55
Sitting,771660,-1.08,-1.53,9.49
Sitting,245546,-4.33,-2.26,8.390134
Sitting,1083446,8.92,-0.84,2.34
Sitting,243428,-5.09,-2.22,7.7363577
Sitting,526907,7.67,1.95,6.32
Sitting,490548,7.74,-1.88,4.63
Sitting,385130,4.21,3.06,8.049625
Sitting,817286,0.89,-0.23,9.66
Sitting,562056,-0.76,3.79,9.43
Sitting,560444,0.65,4.6,8.85
Sitting,524682,7.55,2.26,6.4
Sitting,843628,1.53,3.26,8.77
Sitting,563053,-0.76,3.76,9.43
Sitting,384572,4.14,3.02,8.158588
Sitting,569840,-4.63,3.17,8.24
Sitting,571500,-4.56,3.53,8.16
Sitting,457451,5.48,2.56,8.31
Sitting,492196,8.16,-2.37,4.18
Sitting,565459,-2.45,3.6,9.19
Sitting,245298,-4.29,-2.22,8.240311
Sitting,447580,5.63,1.73,8.39
Sitting,384464,4.21,3.15,8.158588
Sitting,529511,5.28,4.99,7.16
Sitting,628402,8.16,-2.07,3.87
Sitting,558980,-0.04,4.33,9.11
Sitting,1039567,-6.78,-3.26,6.66
Sitting,880986,0.99,-0.11,9.7
Sitting,771405,-0.84,-1.46,9.53
Sitting,525108,7.4,2.26,6.4
Sitting,566156,-1.42,3.11,9.53
Sitting,447865,5.6,1.76,8.39
Sitting,881008,1.42,-0.3,9.72
Sitting,627695,8.05,-2.14,4.21
Sitting,1083295,9.04,-0.91,2.3
Sitting,454053,5.86,2.41,7.86
Sitting,445253,4.6,6.7,5.94
Sitting,529472,5.24,4.99,7.12
Sitting,772351,-1.08,-1.61,9.53
Sitting,457335,5.41,2.53,8.31
Sitting,559884,-1.42,9.77,0.34
Sitting,627403,8.05,-2.26,4.21
Sitting,566614,-0.72,4.14,9.28
Sitting,561138,-1.12,3.64,9.3
Sitting,880532,1.33,0,9.66
Sitting,880542,1.38,-0.04,9.66
Sitting,492919,8.28,-2.34,4.21
Sitting,560318,-0.46,3.21,9.53
Sitting,570445,-4.67,3.11,8.28
Sitting,557608,0.34,4.9,8.69
Sitting,817059,0.89,-0.15,9.72
Sitting,1082835,9.11,-0.95,1.88
Sitting,495775,6.36,2.49,6.51
Sitting,694973,4.33,6.93,-6.32
Sitting,1083471,9.08,-0.84,2.14
Sitting,565455,-2.3,3.87,9.11
Sitting,1039450,-6.74,-3.45,6.59
Sitting,1084669,8.92,-0.5,2.64
Sitting,566316,-2.18,2.96,9.43
Sitting,694919,4.4,6.89,-6.43
Sitting,490743,7.82,-1.92,4.52
Sitting,528767,6.05,5.33,6.17
Sitting,694668,4.56,7.16,-5.79
Sitting,529422,5.18,5.01,7.12
Sitting,491999,7.89,-2.75,4.18
Sitting,559145,-0.15,4.21,9.19
Sitting,492198,8.16,-2.41,4.21
Sitting,562713,-0.91,3.68,9.43
Sitting,567813,-3.72,3.72,8.5
Sitting,562829,-0.89,3.72,9.43
Sitting,525574,7.55,2.26,6.47
Sitting,1082991,9.04,-0.72,2.37
Sitting,568260,-4.02,3.21,8.58
Sitting,816832,0.84,-0.23,9.72
Sitting,447499,5.6,1.76,8.35
Sitting,385546,4.33,3.06,7.9679036
Sitting,455770,5.37,2.53,8.2
Sitting,569423,-4.21,3.6,8.24
Sitting,1083280,8.96,-0.72,2.26
Sitting,528943,5.86,5.56,6.21
Sitting,726814,-4.14,-1.14,7.89
Sitting,880621,1.31,-0.04,9.66
Sitting,561461,-0.91,3.72,9.38
Sitting,1037990,-6.4,-3.6,6.78
Sitting,566112,-1.65,3.02,9.53
Sitting,726669,-4.06,-0.95,8.16
Sitting,570042,-4.67,3.26,8.28
Sitting,570707,-4.67,3.11,8.24
Sitting,843405,2.07,2.45,9.04
Sitting,879943,1.5,0.27,9.66
Sitting,1083532,8.81,-0.99,1.88
Sitting,562083,-0.91,3.79,9.34
Sitting,565382,-2.26,3.57,9.15
Sitting,771676,-0.84,-1.5,9.49
Sitting,524772,7.46,2.26,6.36
Sitting,1039737,-6.66,-3.3,6.66
Sitting,445543,5.01,6.78,5.67
Sitting,447707,5.6,1.76,8.35
Sitting,628141,8.16,-2.14,3.79
Sitting,672824,-7.35,-0.65,-6.66
Sitting,567555,-2.37,3.06,9.3
Sitting,842424,1.57,3.15,8.69
Sitting,456664,5.43,2.56,8.2
Sitting,695364,4.79,6.89,-6.02
Sitting,572477,6.7,11.54,3.15
Sitting,563436,-1.76,3.83,9.58
Sitting,1084769,9,-0.65,2.37
Sitting,1083314,9.04,-1.04,2.26
Sitting,491768,8.2,-2.37,4.14
Sitting,453704,5.86,2.49,7.78
Sitting,1084628,8.92,-0.53,2.49
Sitting,493246,8.28,-2.37,4.18
Sitting,561834,-0.76,3.76,9.51
Sitting,212063,3.38,9.08,1.334794
Sitting,526295,7.5,2.26,6.36
Sitting,492780,8.16,-2.37,4.14
Sitting,558045,0.04,4.14,9.23
Sitting,558866,-0.11,4.44,9.19
Sitting,880899,1.27,-0.11,9.7
Sitting,564362,-0.19,5.6,8.47
Sitting,565090,-2.64,3.11,9.23
Sitting,457771,5.6,2.53,8.24
Sitting,1084976,9.3,-1.12,2.26
Sitting,563118,-0.8,3.72,9.43
Sitting,843524,2.68,2.22,8.85
Sitting,879596,1.5,0.15,9.7
Sitting,817238,0.8,-0.23,9.72
Sitting,490450,7.82,-1.99,4.52
Sitting,572369,-2.45,3.87,8.85
Sitting,1085345,8.5,-1.5,2.56
Sitting,571155,-4.82,3.38,8.08
Sitting,627061,8.08,-2.22,4.18
Sitting,628706,8.2,-1.99,3.91
