label,timeElapsed,x,y,z
Standing,449423,-0.53,9.96,0.99
Standing,818013,4.1,8.43,-0.15
Standing,448631,0.08,9.89,1.08
Standing,577439,-0.89,9.89,1.12
Standing,818243,3.91,8.24,0.19
Standing,695816,4.82,10.42,0.69
Standing,1081053,-5.28,7.97,-1.54
Standing,696587,1.57,9.62,0.95
Standing,214024,1.73,9.77,-0.8036005
Standing,451236,0.04,9.92,1.46
Standing,449460,-0.15,9.92,1.23
Standing,633363,-3.15,8.35,-1.04
Standing,246948,-1.12,9.3,2.7240696
Standing,421528,-1.12,9.96,-0.76
Standing,386519,-1.5,9.7,0.95342433
Standing,883334,-1.18,9.34,-0.42
Standing,246459,-0.65,9.58,2.5333846
Standing,602927,4.18,8.05,0.53
Standing,246222,-0.76,9.53,2.7240696
Standing,556128,1.04,9.92,0.27
Standing,531278,-5.37,8.2,-0.76
Standing,246491,-0.65,9.51,2.6014864
Standing,882772,-1.12,9.43,-0.38
Standing,556042,1.08,9.92,0.34
Standing,1081116,-5.6,8.2,0.3
Standing,451256,0.04,9.85,1.54
Standing,214066,1.61,9.85,-1.4165162
Standing,214340,1.73,9.62,-1.56634
Standing,1035089,-8.08,6.63,-0.95
Standing,449404,-0.27,9.92,0.99
Standing,1081953,-5.33,8.05,-1.38
Standing,819432,7.89,4.48,1.08
Standing,214757,0.8,10.04,-1.334794
Standing,819364,7.97,4.6,1.38
Standing,725382,3.53,9.19,-2.11
Standing,530455,-4.9,8.54,-0.08
Standing,697786,0.11,10.08,1.18
Standing,844631,-1.08,9.38,1.12
Standing,881355,-0.95,9.3,-0.31
Standing,214258,1.31,9.43,-1.6889231
Standing,575956,-0.95,9.7,2.6
Standing,556621,0.93,9.96,0.31
Standing,1082165,-5.52,7.97,-0.99
Standing,573055,-0.95,9.53,2.68
Standing,845835,-1.14,9.3,1.23
Standing,697722,1.04,9.92,-0.04
Standing,448378,0.31,9.96,0.53
Standing,444182,2.49,9.34,2.83
Standing,695778,-0.42,9.81,-0.08
Standing,634662,-3.15,8.5,-0.93
Standing,698379,1.76,9.81,-0.19
Standing,576528,-1.46,9.62,2.56
Standing,817817,2.79,8.73,-0.5
Standing,448348,-0.15,10.04,0.76
Standing,215000,0.27,9.96,-1.2258313
Standing,817869,2.14,7.46,-1.33
Standing,576777,-0.99,9.51,2.53
Standing,577256,-1.5,9.51,2.34
Standing,246845,-0.76,9.34,2.5606253
Standing,695620,0.04,9.85,2.03
Standing,214470,0.69,9.96,-0.88532263
Standing,530981,-5.28,8.58,-0.15
Standing,698296,2.49,9.51,1.38
Standing,527573,-1.95,9.66,-0.89
Standing,1082633,-5.05,8.24,-0.99
Standing,451369,0.11,9.89,1.46
Standing,576816,-1.14,9.66,2.79
Standing,881550,-0.93,9.43,-0.46
Standing,882070,-0.99,9.43,-0.38
Standing,386872,-1.31,9.62,1.4982382
Standing,422151,-1.04,9.7,1.5
Standing,1081071,-4.71,8.35,-1.54
Standing,845947,-1.23,9.3,1.04
Standing,1036890,-8.05,5.94,-0.53
Standing,1036121,-8.16,5.13,-1.65
Standing,527750,-2.03,9.7,-0.89
Standing,1035310,-8.24,4.94,-0.5
Standing,697541,2.41,9.66,0.99
Standing,697646,0.23,10.04,0.72
Standing,774712,-6.85,6.85,1.33
Standing,450686,-0.19,9.89,1.5
Standing,444793,2.49,9.34,2.83
Standing,883817,-1.14,9.43,-0.31
Standing,819400,7.63,5.05,1.14
Standing,450801,0.08,9.89,1.38
Standing,576780,-1.5,9.3,3.15
Standing,697436,0.69,10.15,0.23
Standing,386728,1.27,8.77,2.5606253
Standing,449750,-0.46,9.92,0.8
Standing,774998,-7.59,6.4,1.5
Standing,494796,-1.57,9.77,0.61
Standing,246119,-0.84,9.38,2.7240696
Standing,450192,-0.11,9.89,1.5
Standing,387329,-0.3,9.85,0.42223078
Standing,577737,-0.76,9.96,0.57
Standing,882490,-0.93,9.43,0
Standing,530081,-4.75,8.77,0.04
Standing,450594,-0.15,9.89,1.42
Standing,574450,-1.5,9.77,1.18
Standing,421236,-0.38,10,1.27
Standing,1081894,-5.28,8.2,-0.89
Standing,773628,-4.94,8.39,-0.23
Standing,443337,1.42,9.92,1.1168685
Standing,845274,-1.08,9.3,1.12
Standing,773299,-5.18,8.16,1.53
Standing,450359,-0.11,9.89,1.27
Standing,775592,-7.55,6.51,-0.31
Standing,774529,-6.74,7.86,1.53
Standing,725308,3.41,9.34,-1.99
Standing,450530,0.08,9.85,1.54
Standing,576241,-1.42,9.38,2.76
Standing,247714,-1.42,9.43,2.4108016
Standing,843935,-1.12,9.34,1.38
Standing,845504,-1.18,9.23,1.57
Standing,634253,-3.34,8.47,-1.23
Standing,1081582,-5.56,8.35,-0.04
