label,timeElapsed,x,y,z
Upstairs,181742,2.96,8.16,1.3756552
Upstairs,851687,2.18,8.66,1.5
Upstairs,887982,-6.05,7.5,4.63
Upstairs,1029426,1.23,4.79,-1.61
Upstairs,382785,-2.87,4.79,-0.040861044
Upstairs,733578,0.27,5.43,0.11
Upstairs,596888,6.82,8.89,-3.06
Upstairs,483308,8.73,6.7,-14.4
Upstairs,296504,1.33,12.95,-5.053149
Upstairs,419593,-2.45,3.91,-2.64
Upstairs,599716,-8.77,16.86,3.87
Upstairs,887613,-2.72,5.22,-2.03
Upstairs,301095,6.85,15.55,-2.3018389
Upstairs,211106,1.57,1.33,2.6832085
Upstairs,661927,0.76,9.72,-3.34
Upstairs,302008,5.05,5.63,-2.7921712
Upstairs,487476,2.6,9.92,-2.6
Upstairs,893923,-0.38,10.95,-4.18
Upstairs,1077584,-10.65,3.87,2.75
Upstairs,885942,10.69,3.53,7.35
Upstairs,43611,0.27,8.47,1.6480621
Upstairs,851137,-5.48,13.1,0.69
Upstairs,1034384,-15.66,17.05,0.84
Upstairs,806764,-2.79,8.05,1.53
Upstairs,808169,-5.22,10.42,0.19
Upstairs,239222,-1.08,4.82,6.2789803
Upstairs,415623,-0.42,12.57,1.5
Upstairs,691835,6.47,-0.04,-9.23
Upstairs,885718,3.76,19.38,2.56
Upstairs,301823,4.94,10.31,-1.525479
Upstairs,899321,0.23,7.35,-1.88
Upstairs,1030975,1.61,4.9,-2.76
Upstairs,731866,-1.18,3.38,1.42
Upstairs,850951,2.96,10.38,0.8
Upstairs,242214,-0.46,9.34,0.8036005
Upstairs,810228,-0.57,7.93,-0.69
Upstairs,301693,2.37,2.11,13.756551
Upstairs,925359,0.84,2.91,9.58
Upstairs,125059,-0.23,9.08,0.8036005
Upstairs,896081,2.34,12.22,-5.82
Upstairs,689297,6.09,-2.37,-6.47
Upstairs,631230,7.65,2.91,1.04
Upstairs,337626,-3.91,9.08,2.8330324
Upstairs,894288,-1.14,13.8,-1.99
Upstairs,850819,3.49,12.53,6.17
Upstairs,93017,7.93,6.32,0.84446156
Upstairs,659822,-1.61,11.75,-0.91
Upstairs,545830,14.56,13.59,3.99
Upstairs,1080056,-0.46,1.33,0.53
Upstairs,601225,1.95,15.4,-5.22
Upstairs,303759,3.76,10,-1.3075534
Upstairs,437542,0.34,8.73,3.8681788
Upstairs,1073903,-11.37,9.19,1.23
Upstairs,236451,0.19,7.59,0.92618364
Upstairs,1077718,-16.78,8.5,9.38
Upstairs,180459,0.08,4.63,-0.53119355
Upstairs,655580,3.06,15.7,6.36
Upstairs,635112,7.04,17.47,8.01
Upstairs,210613,-14.25,-9.77,3.5957718
Upstairs,926766,0.99,5.05,-3.76
Upstairs,661798,1.46,-2.3,-0.11
Upstairs,890918,1.84,9.08,-2.22
Upstairs,549950,6.02,8.5,-2.6
Upstairs,45582,0.89,0.61,3.214402
Upstairs,124983,-1.76,9.85,1.879608
Upstairs,550135,10.38,7.31,-0.91
Upstairs,378208,-1.73,7.78,0.50395286
Upstairs,898735,1.46,7.44,-1.69
Upstairs,356723,6.13,13.95,-0.27240697
Upstairs,241181,-0.95,6.89,3.568531
Upstairs,893260,0.46,7.93,-1.99
Upstairs,809834,7.12,8.2,-0.72
Upstairs,546742,5.22,8.69,-0.72
Upstairs,629825,-0.46,13.4,2.3
Upstairs,87682,-2.6,8.35,1.2258313
Upstairs,1030980,6.55,4.52,-0.89
Upstairs,298083,-4.1,8.39,-1.56634
Upstairs,38610,-1.12,17.47,2.152015
Upstairs,762059,-0.65,7.55,-0.04
Upstairs,898851,0.04,16.09,-0.84
Upstairs,297045,-0.89,5.71,-2.3018389
Upstairs,553861,4.4,15.64,-0.08
Upstairs,207280,19.11,-1.33,4.1814466
Upstairs,897011,1.57,8.89,-4.4
Upstairs,338222,4.25,1.04,0.38136974
Upstairs,210690,-1.12,1.5,1.8387469
Upstairs,552592,-1.42,7.46,-1.08
Upstairs,853713,-1.95,6.66,2.91
Upstairs,440670,3.17,9.96,0.50395286
Upstairs,887487,-15.32,18.77,3.15
Upstairs,378621,1.92,5.63,4.3312707
Upstairs,124436,-1.53,13.82,5.012288
Upstairs,762412,4.94,9.34,0.5
Upstairs,237146,-3.45,9.66,1.2258313
Upstairs,383028,-0.5,10.19,0.61291564
Upstairs,340801,5.24,4.99,-2.2201166
Upstairs,485620,5.56,10.61,-5.43
Upstairs,846685,-1.08,3.6,2.45
