timeElapsed,x,y,z,label
0,-0.407241821,0.901397705,0.173919678,standToSit2
0.099,-0.380630493,0.876495361,0.290771484,standToSit2
0.199,-0.467102051,0.793792725,0.240066528,standToSit2
0.298,-0.420806885,0.729446411,0.324478149,standToSit2
0.398,-0.488861084,0.820159912,0.297622681,standToSit2
0.497,-0.555404663,0.707580566,0.338119507,standToSit2
0.597,-0.62550354,0.715148926,0.425033569,standToSit2
0.696,-0.641586304,0.60874939,0.469924927,standToSit2
0.796,-0.739273071,0.55897522,0.529495239,standToSit2
0.895,-0.72795105,0.424377441,0.596343994,standToSit2
0.995,-0.767456055,0.385742188,0.636016846,standToSit2
1.094,-0.670150757,0.297439575,0.704650879,standToSit2
1.194,-0.724411011,0.285552979,0.721664429,standToSit2
1.293,-0.641647339,0.318481445,0.681167603,standToSit2
1.393,-0.678909302,0.283111572,0.685852051,sit
1.492,-0.679611206,0.26713562,0.709533691,sit
1.592,-0.702377319,0.271652222,0.681365967,sit
1.691,-0.69392395,0.249450684,0.680557251,sit
1.791,-0.728240967,0.231002808,0.673233032,sit
1.89,-0.739608765,0.215911865,0.661865234,sit
1.99,-0.735671997,0.217636108,0.65071106,sit
2.089,-0.743682861,0.23550415,0.659759521,sit
2.189,-0.749282837,0.21131897,0.651535034,sit
2.288,-0.747314453,0.211120605,0.64944458,sit
2.388,-0.741226196,0.217758179,0.640304565,sit
2.487,-0.744171143,0.215988159,0.639785767,sit
2.587,-0.7396698,0.215133667,0.647796631,sit
2.686,-0.742889404,0.2134552,0.649536133,sit
2.786,-0.734024048,0.216903687,0.653167725,sit
2.885,-0.73538208,0.217010498,0.650192261,sit
2.985,-0.734375,0.2137146,0.644592285,sit
3.085,-0.734542847,0.220153809,0.648101807,sit
3.184,-0.737487793,0.216690063,0.647583008,sit
3.284,-0.737014771,0.219955444,0.655456543,sit
3.383,-0.734588623,0.222488403,0.64855957,sit
3.483,-0.733718872,0.217788696,0.653335571,sit
3.582,-0.744262695,0.216659546,0.653869629,sit
3.682,-0.735961914,0.215545654,0.653839111,sit
3.781,-0.733734131,0.217514038,0.652297974,sit
3.881,-0.734649658,0.217636108,0.653320313,sit
3.98,-0.737930298,0.218444824,0.649078369,sit
4.08,-0.736114502,0.220336914,0.65246582,sit
4.179,-0.733856201,0.218673706,0.651412964,sit
4.279,-0.737731934,0.217605591,0.653030396,sit
4.378,-0.734176636,0.215942383,0.653762817,sit
4.478,-0.735488892,0.2212677,0.650497437,sit
4.577,-0.73614502,0.217834473,0.650970459,sit
4.677,-0.734039307,0.217788696,0.652709961,sit
4.776,-0.734970093,0.220199585,0.653045654,sit
4.876,-0.734909058,0.217529297,0.653091431,sit
4.975,-0.735702515,0.217025757,0.657012939,sit
5.075,-0.734420776,0.215927124,0.653625488,sit
5.174,-0.735183716,0.217514038,0.651367188,sit
5.274,-0.738250732,0.216567993,0.647445679,sit
5.373,-0.73651123,0.216903687,0.653579712,sit
5.473,-0.738418579,0.215270996,0.650802612,sit
5.572,-0.737625122,0.214370728,0.649307251,sit
5.672,-0.740020752,0.21572876,0.64743042,sit
5.771,-0.737258911,0.211166382,0.650634766,sit
5.871,-0.741363525,0.214859009,0.650268555,sit
5.97,-0.748916626,0.21496582,0.646118164,sit
